date,symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
28-08-2006,TECHM,EQ,365,521,569,502,553,554.25,552,15166163,8.37176E+14,,3777529,0.2491
29-08-2006,TECHM,EQ,554.25,555,563.9,535.55,536.1,539.3,547.59,3929113,2.15153E+14,,727534,0.1852
30-08-2006,TECHM,EQ,539.3,537,542.9,521.5,529,528.1,529.55,2034983,1.07763E+14,,345064,0.1696
31-08-2006,TECHM,EQ,528.1,525,544,515,539.35,538.45,532.89,1670990,8.90446E+13,,286440,0.1714
01-09-2006,TECHM,EQ,538.45,539,549,535.1,541.35,541.85,542.46,1176195,6.38039E+13,,213842,0.1818
04-09-2006,TECHM,EQ,541.85,542,549,452.8,542,543.95,543.8,749788,4.07737E+13,,213912,0.2853
05-09-2006,TECHM,EQ,543.95,544,556,538.5,551.5,552.7,548.92,956133,5.24838E+13,,258744,0.2706
06-09-2006,TECHM,EQ,552.7,554.7,562.5,538,540,541.25,551.38,957611,5.28011E+13,,202832,0.2118
07-09-2006,TECHM,EQ,541.25,545,545,530,536.25,537.3,536.79,351161,1.885E+13,,140830,0.401
08-09-2006,TECHM,EQ,537.3,538.8,544.9,531.55,531.6,534.8,538.89,269659,1.45316E+13,,59668,0.2213
11-09-2006,TECHM,EQ,534.8,539.95,545,532.25,533.1,535.95,538.13,420466,2.26265E+13,,182316,0.4336
12-09-2006,TECHM,EQ,535.95,535.95,546.85,534,537.85,537.85,539.51,514196,2.77415E+13,,289134,0.5623
13-09-2006,TECHM,EQ,537.85,541,549,541,545.1,544.7,546.14,401947,2.19521E+13,,247945,0.6169
14-09-2006,TECHM,EQ,544.7,545.2,557.5,545.1,549,549.85,553.26,534610,2.95778E+13,,303082,0.5669
15-09-2006,TECHM,EQ,549.85,550.15,554,539,541,540.2,544.58,209783,1.14244E+13,,97462,0.4646
18-09-2006,TECHM,EQ,540.2,544,562,544,545.25,546.5,550.53,224376,1.23527E+13,,96526,0.4302
19-09-2006,TECHM,EQ,546.5,548.05,623.85,546.5,581,584.25,594.73,4793064,2.85058E+14,,583289,0.1217
20-09-2006,TECHM,EQ,584.25,579.8,613.9,573.25,605.95,605.05,601.29,2264328,1.36151E+14,,202726,0.0895
21-09-2006,TECHM,EQ,605.05,577,627,577,609.9,608.95,616.48,1776100,1.09492E+14,,233080,0.1312
22-09-2006,TECHM,EQ,608.95,625,625,593.25,604.45,601.15,603.12,726501,4.38166E+13,,129352,0.178
25-09-2006,TECHM,EQ,601.15,595.25,611.7,590.05,594.5,593.55,602.69,635537,3.83034E+13,,119407,0.1879
26-09-2006,TECHM,EQ,593.55,599.8,626,594,614.55,617.6,616.59,1735875,1.07033E+14,,244564,0.1409
27-09-2006,TECHM,EQ,617.6,619.5,631.8,616.3,619.9,619.45,624.48,1015312,6.34046E+13,,182281,0.1795
28-09-2006,TECHM,EQ,619.45,624.7,624.7,608.15,614.25,613,614.19,302605,1.85856E+13,,101194,0.3344
29-09-2006,TECHM,EQ,613,615,630,610,619,618.4,622.2,595376,3.70444E+13,,106764,0.1793
03-10-2006,TECHM,EQ,618.4,619,635.85,615,616.1,619.4,625.94,800656,5.01165E+13,,197144,0.2462
04-10-2006,TECHM,EQ,619.4,621.6,624,610,613.3,613.7,617.28,300674,1.856E+13,,69571,0.2314
05-10-2006,TECHM,EQ,613.7,621.2,628,619,625.6,624.15,622.65,214316,1.33443E+13,,65398,0.3051
06-10-2006,TECHM,EQ,624.15,629,639.95,618.15,621,621.3,631.77,618442,3.90712E+13,,131411,0.2125
09-10-2006,TECHM,EQ,621.3,618,624.9,610,614.4,614.05,617.91,240328,1.48502E+13,,98162,0.4085
10-10-2006,TECHM,EQ,614.05,620,624.8,610.35,616.25,615.85,618.7,210138,1.30012E+13,,58759,0.2796
11-10-2006,TECHM,EQ,615.85,620,653.8,620,630.65,629.95,640.88,1942573,1.24496E+14,,500494,0.2576
12-10-2006,TECHM,EQ,629.95,634.5,637.1,621,629.2,629.7,630.56,721172,4.54742E+13,,286390,0.3971
13-10-2006,TECHM,EQ,629.7,635.1,692.9,635.1,687.9,681.95,668.73,2521133,1.68595E+14,,551806,0.2189
16-10-2006,TECHM,EQ,681.95,688.25,718,688.25,713,710.45,703.95,1859460,1.30896E+14,,381001,0.2049
17-10-2006,TECHM,EQ,710.45,714,717,700.25,706,704.5,707.01,826731,5.84504E+13,,156976,0.1899
18-10-2006,TECHM,EQ,704.5,710,715,680,682.15,684.05,701.14,754796,5.29217E+13,,233795,0.3097
19-10-2006,TECHM,EQ,684.05,700,792,700,772.45,772.7,769.35,4708913,3.6228E+14,,776684,0.1649
20-10-2006,TECHM,EQ,772.7,779,900,776,895,863.35,834.91,5252845,4.38563E+14,,560625,0.1067
21-10-2006,TECHM,EQ,863.35,900,976,900,951.25,956.4,956.17,2442711,2.33565E+14,,284411,0.1164
23-10-2006,TECHM,EQ,956.4,956,988.95,881,894.1,898.15,906.52,4171924,3.78193E+14,,360259,0.0864
26-10-2006,TECHM,EQ,898.15,900,926,892.35,921.1,918.65,912.9,2675072,2.44208E+14,,211604,0.0791
27-10-2006,TECHM,EQ,918.65,921.3,1014,921.3,1010,1000.95,975.42,4454173,4.34471E+14,,387954,0.0871
30-10-2006,TECHM,EQ,1000.95,1010,1047.8,985,1004,1006.55,1022.9,3142529,3.2145E+14,,501809,0.1597
31-10-2006,TECHM,EQ,1006.55,1008,1025,956.6,999,989.7,991.6,2238040,2.21924E+14,,207364,0.0927
01-11-2006,TECHM,EQ,989.7,1001,1024,982.6,1008.15,1009.25,1008.13,1953788,1.96967E+14,,172903,0.0885
02-11-2006,TECHM,EQ,1009.25,1008,1018.65,995.15,995.15,1002.5,1007.43,1094928,1.10306E+14,,127764,0.1167
03-11-2006,TECHM,EQ,1002.5,1004,1005,985,990.35,992,994.16,712543,7.08385E+13,,118608,0.1665
06-11-2006,TECHM,EQ,992,1000,1021,983,995,998.3,1006.11,870738,8.76058E+13,,119675,0.1374
07-11-2006,TECHM,EQ,998.3,1013.7,1014.4,987.25,989.35,990.95,1001.47,508981,5.09728E+13,,101652,0.1997
08-11-2006,TECHM,EQ,990.95,998.6,1005,969,995,990.7,988.73,823820,8.14538E+13,,96930,0.1177
09-11-2006,TECHM,EQ,990.7,1002,1002.8,982,984.95,987.6,990.76,472117,4.67756E+13,,78912,0.1671
10-11-2006,TECHM,EQ,987.6,994.4,1031,975,996,999.35,1008.1,1328121,1.33888E+14,,214853,0.1618
13-11-2006,TECHM,EQ,999.35,1000,1016.85,994.5,1003,1005.75,1006.72,634151,6.38414E+13,,115715,0.1825
14-11-2006,TECHM,EQ,1005.75,1010,1015,991.15,993,996.15,1002.64,591832,5.93395E+13,,135443,0.2289
15-11-2006,TECHM,EQ,996.15,1000,1089.8,997.5,1066,1073.6,1045.33,2710703,2.83358E+14,,498259,0.1838
16-11-2006,TECHM,EQ,1073.6,1075.05,1166.6,1062.2,1152,1152.95,1128.13,4209108,4.74842E+14,,433751,0.1031
17-11-2006,TECHM,EQ,1152.95,1160,1177.7,1098,1110,1115.1,1135.35,2057344,2.3358E+14,,308899,0.1501
20-11-2006,TECHM,EQ,1115.1,1100,1148.8,1060.4,1145,1139.1,1105.74,1813833,2.00563E+14,,180630,0.0996
21-11-2006,TECHM,EQ,1139.1,1130.65,1209.7,1130.65,1181,1182.35,1184.93,1827651,2.16564E+14,,247571,0.1355
22-11-2006,TECHM,EQ,1182.35,1187,1199.75,1168.5,1171.05,1174.5,1184.05,853962,1.01114E+14,,147492,0.1727
23-11-2006,TECHM,EQ,1174.5,1185,1185,1140.2,1145.3,1149.7,1162.18,624661,7.25967E+13,,157421,0.252
24-11-2006,TECHM,EQ,1149.7,1101.05,1182.2,1101.05,1143.5,1140.9,1158.05,811845,9.40156E+13,,125519,0.1546
27-11-2006,TECHM,EQ,1140.9,1143.6,1149.95,1116.7,1131.05,1127.05,1131.87,407183,4.60878E+13,,98198,0.2412
28-11-2006,TECHM,EQ,1127.05,1119.95,1152,1075.3,1117,1116.3,1128.22,779057,8.78949E+13,,128249,0.1646
29-11-2006,TECHM,EQ,1116.3,1125,1149,1117.2,1119.95,1124.9,1135.09,413684,4.69568E+13,,53025,0.1282
